Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-09,1,1,21.245,BAL,,BUF,W 47-3,,1,4,25.00,24,0,0,52.1,1,8,6.00,6.00,7,39,5.57,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,0,30,38%,0,0%,0,0%,
2,2018,2018-09-13,2,2,21.249,BAL,@,CIN,L 23-34,,0,0,,0,0,0,,0,0,,,2,6,3.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,7%,0,0%,0,0%,
3,2018,2018-09-23,3,3,21.259,BAL,,DEN,W 27-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,0,0%,
4,2018,2018-09-30,4,4,21.266,BAL,@,PIT,W 26-14,,0,0,,0,0,0,,0,0,,,4,17,4.25,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,12%,0,0%,0,0%,
5,2018,2018-10-07,5,5,21.273,BAL,@,CLE,L 9-12,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,10,3.33,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,6%,0,0%,0,0%,
6,2018,2018-10-14,6,6,21.280,BAL,@,TEN,W 21-0,,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,0,0%,
7,2018,2018-10-21,7,7,21.287,BAL,,NOR,L 23-24,,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,3,9,3.00,1,1,6,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,0,0%,
8,2018,2018-10-28,8,8,21.294,BAL,@,CAR,L 21-36,,4,5,80.00,46,1,0,144.6,0,0,9.20,13.20,3,26,8.67,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,21%,0,0%,0,0%,
9,2018,2018-11-04,9,9,21.301,BAL,,PIT,L 16-23,,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,5,10,2.00,0,0,0,0.0,0,0,0,,,1,0,0,0,-3,0,13,21%,0,0%,0,0%,
10,2018,2018-11-18,10,11,21.315,BAL,,CIN,W 24-21,*,13,19,68.42,150,0,1,70.1,3,14,7.89,5.53,26,119,4.58,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-3,0,79,100%,0,0%,0,0%,
11,2018,2018-11-25,11,12,21.322,BAL,,OAK,W 34-17,*,14,25,56.00,178,1,2,58.4,1,4,7.12,4.32,11,71,6.45,1,1,6,0.0,0,0,0,0,0,1,0,0,1,-2,0,70,100%,0,0%,0,0%,
